mmsi,imo,latitude,longitude,source,ts_insert_utc,eeid
432288000,9238947,15.4636,-179.09097,S-AIS,20230212162727,4621547426980049152
352002171,9911551,34.842762,-179.51062,S-AIS,20230212162728,8611225303584022651
354674000,9883716,51.54667,-179.63159,S-AIS,20230212162727,4803635640612939088
373365000,9599145,55.160435,-179.49202,S-AIS,20230212162727,4910648289864521992
273423060,8721076,60.906754,-179.73468,S-AIS,20230212162728,5392511356581452500
273448240,8509155,60.884434,-179.72049,S-AIS,20230212162728,4841242614693657904
520312000,9850381,-21.091682,-178.10075,S-AIS,20230212162728,4668737744577713344
416004043,0,-3.9439383,-178.32196,S-AIS,20230212162728,8429459521722365899
416004214,0,-3.5718267,-178.77264,S-AIS,20230212162728,6595368573475731574
416003413,0,-3.7364767,-178.72734,S-AIS,20230212162728,7686365583206233429
613003801,8703634,2.02577,-178.78355,S-AIS,20230212162728,7355332881734545945
374494000,9726695,16.55218,-178.82564,S-AIS,20230212162727,4842093739873817392
356718000,9520663,18.4458,-178.87138,S-AIS,20230212162728,4857748655131792816
220414000,9320233,30.993233,-178.79292,S-AIS,20230212162728,4828053603298263088
538005255,9359466,30.459122,-178.41136,S-AIS,20230212162727,8663977908870663943
564189000,9352250,31.518177,-178.06795,S-AIS,20230212162728,4952483363167459144
371813000,9344291,31.158617,-178.84467,S-AIS,20230212162728,4924023299059051144
232024256,9855214,31.195341,-178.16751,S-AIS,20230212162728,4667289335288326336
563126400,9864306,32.31525,-178.31313,S-AIS,20230212162727,4630054876855967872
520314000,9850410,-19.979399,-177.72897,S-AIS,20230212162728,4777950035541449872
355768000,9574092,17.06645,-177.23752,S-AIS,20230212162727,4673130207466788544
311000475,9705641,22.76412,-177.24876,S-AIS,20230212162728,8534220491295653275
354423000,9338864,34.0011,-177.43532,S-AIS,20230212162727,5098639008391499992
367681000,7933646,51.555332,-177.71555,S-AIS,20230212162727,5039129865696730600
636092984,9349875,54.724777,-177.03702,S-AIS,20230212162728,5120616867427910200
441251000,9005297,12.7669,-176.39651,S-AIS,20230212162728,5137424745004594360
403549000,9323596,23.597538,-176.0441,S-AIS,20230212162728,4950982138792880968
538006838,9733325,23.170347,-176.23958,S-AIS,20230212162727,6569241132189963574
352001262,9926025,31.603004,-176.45514,S-AIS,20230212162728,6759401431804615918
431041000,9875226,1.697975,-175.53085,S-AIS,20230212162728,5036470679708445160
440770000,9042025,12.23192,-175.83572,S-AIS,20230212162727,4822907244855533008
440584000,8714126,12.037983,-175.84677,S-AIS,20230212162728,4663706757246404416
441233000,8804062,12.446043,-175.84709,S-AIS,20230212162727,5016249767530638952
440781000,8905581,13.131534,-175.30818,S-AIS,20230212162728,4955341221397907656
215573000,9862346,22.863571,-175.48866,S-AIS,20230212162727,4904884864502293000
352001831,9338694,31.422466,-175.17268,S-AIS,20230212162727,8736481668220264231
636014190,9391971,40.50032,-175.24303,S-AIS,20230212162727,6745483947048226414
440780000,8905567,12.03155,-174.28993,S-AIS,20230212162727,4740294339190965472
440733000,8703880,13.5657835,-174.69197,S-AIS,20230212162727,4948374715724270920
235093618,9595450,30.322807,-174.32622,S-AIS,20230212162728,6025587723497324146
416005188,0,31.608713,-174.41708,S-AIS,20230212162727,5228526086568787012
577206000,0,-11.950512,-173.68005,S-AIS,20230212162727,4889705853439407856
440765000,8619247,12.1687,-173.76462,S-AIS,20230212162727,4941689685027424840
440339000,8619261,12.912958,-173.97255,S-AIS,20230212162727,5121788040389265976
477439400,9708526,18.730925,-173.19975,S-AIS,20230212162727,5001576750534436264
477237100,9203930,19.333218,-173.0818,S-AIS,20230212162728,5601373537625575276
371172000,9442873,30.982334,-173.02246,S-AIS,20230212162728,4706681736084300448
636020697,9931563,36.853336,-173.25113,S-AIS,20230212162728,7420179466223675353
636020465,9497579,50.911278,-173.20381,S-AIS,20230212162728,7194999484855150321
477681500,9705287,12.284685,-172.09018,S-AIS,20230212162728,5673066093803525980
440656000,8703878,13.762459,-172.17847,S-AIS,20230212162727,4630246419389997184
636018237,9305465,27.433613,-172.92679,S-AIS,20230212162728,8007054792665390653
636020907,9620633,51.06014,-172.9213,S-AIS,20230212162727,8450377880984676523
538001583,9236494,-13.749719,-171.76099,S-AIS,20230212162727,9025391778967142575
477477400,9689952,-13.726617,-171.72952,S-AIS,20230212162727,5050623765226306072
561006006,9940007,-13.827628,-171.76051,S-AIS,20230212162727,6586659183103329718
440641000,8905579,2.7136817,-171.4602,S-AIS,20230212162727,5037681448178656744
441811000,8734255,13.796535,-171.8512,S-AIS,20230212162728,5116206369612333112
440773000,8805315,13.410633,-171.06587,S-AIS,20230212162728,4928460361122032008
412420801,0,19.235434,-171.7812,S-AIS,20230212162728,6977248203252239041
565960000,9734525,22.474804,-171.01172,S-AIS,20230212162728,4660934660924890432
563004500,9611046,23.866964,-171.53192,S-AIS,20230212162728,5370784865372259412
563004600,9611058,23.093536,-171.25974,S-AIS,20230212162727,5136597684748993720
636020502,9883728,49.53407,-171.27467,S-AIS,20230212162728,6501445142240093974
311957000,8917572,52.63594,-171.8678,S-AIS,20230212162728,4907241693542618632
440820000,8619388,2.5996,-170.53722,S-AIS,20230212162727,4693200057150103840
440809000,8815671,8.171732,-170.53238,S-AIS,20230212162728,4979600845953185320
477832200,9484388,21.179928,-170.68903,S-AIS,20230212162728,4902510752872211464
431298000,0,30.3105,-170.35054,S-AIS,20230212162727,4821714068571493840
259701000,9490806,31.001604,-170.78543,S-AIS,20230212162728,4910990383895984392
538008978,9494668,34.84366,-170.70552,S-AIS,20230212162727,5939863084264938898
257994000,9400394,43.13715,-170.27888,S-AIS,20230212162728,4768539856422874384
577332000,9725691,49.150185,-170.15408,S-AIS,20230212162728,4697717929090310944
367484550,8957883,56.648705,-170.16605,S-AIS,20230212162727,6367731338189430406
440936000,8829543,12.771767,-169.11679,S-AIS,20230212162727,4654756732596659776
440821000,8717855,12.411817,-169.31926,S-AIS,20230212162727,4911624639077573896
431741000,9890771,30.268715,-169.38423,S-AIS,20230212162728,4937906059348793416
416679000,0,30.878902,-169.17126,S-AIS,20230212162727,5082341617610130520
563094500,9767481,31.118204,-169.82257,S-AIS,20230212162727,5328042450354185188
538005785,9727572,31.327578,-169.33176,S-AIS,20230212162728,7359622866793484569
229859000,9288461,54.355804,-169.9925,S-AIS,20230212162728,5142745101171383992
367068230,8997845,56.209515,-169.82059,S-AIS,20230212162728,6379386161443439686
412549286,0,-15.886325,-168.30183,S-AIS,20230212162727,6431204340619739302
440239000,9046409,2.7622666,-168.75645,S-AIS,20230212162728,5075678920766751640
440055000,9019509,12.668302,-168.88179,S-AIS,20230212162727,5101266755368170712
372634000,9387114,14.104283,-168.7197,S-AIS,20230212162728,4783925726471909776
373681000,9609512,36.203663,-168.49307,S-AIS,20230212162727,5023176707897944936
566264000,9713777,48.187054,-168.645,S-AIS,20230212162727,4665800549633917120
412371208,0,-5.9925785,-167.3268,S-AIS,20230212162727,4910201527405398280
441043000,9012331,3.1454217,-167.74716,S-AIS,20230212162727,5117466409936996408
440595000,8916358,4.50526,-167.0617,S-AIS,20230212162727,5121666544354652728
