mmsi,imo,collectionType,timestamp,latitude,longitude,name,shipType
403602000,9663946.0,DYNAMIC,2023-02-12T13:59:44.000Z,28.158475,48.683535,,
413841308,,TERRESTRIAL,2023-02-12T14:02:07.000Z,32.58843167,119.47443667,,
412469832,,TERRESTRIAL,2023-02-08T01:34:28.000Z,22.486425,113.84394333,,
271002239,,DYNAMIC,2023-02-12T14:01:34.000Z,40.95700333,28.73805667,,
271046114,,TERRESTRIAL,2023-02-12T14:01:53.000Z,41.04110167,29.00811,,
413238990,0.0,DYNAMIC,2023-02-12T13:54:15.000Z,31.00388333,122.26960333,,
503006560,,TERRESTRIAL,2023-02-12T14:02:09.725Z,-27.457245,153.19197333,,
20119015,,DYNAMIC,2023-02-12T13:53:09.000Z,31.05977667,122.92975833,,
566601000,9654907.0,TERRESTRIAL,2023-02-12T14:02:08.200Z,1.23829333,103.73782,,
131060120,,DYNAMIC,2023-02-12T13:59:54.000Z,31.05771667,123.06775833,,
220810575,,DYNAMIC,2023-02-12T13:42:12.000Z,31.04932,122.94648167,,
440002400,,DYNAMIC,2023-02-12T13:57:09.000Z,37.22664833,126.15644667,,
412442402,,DYNAMIC,2023-02-12T13:54:13.000Z,30.94946333,122.70908833,,
224048390,8740773.0,TERRESTRIAL,2023-02-12T14:02:11.566Z,28.06827167,-16.80761833,,
413700570,0.0,DYNAMIC,2023-02-12T13:58:23.000Z,35.37627833,122.86174,,
210184000,9409845.0,DYNAMIC,2023-02-12T14:02:02.000Z,53.99717833,6.42186167,,
211500840,0.0,TERRESTRIAL,2023-02-12T14:01:51.084Z,49.50742667,8.43611,,
240101900,9859662.0,DYNAMIC,2023-02-12T13:58:12.000Z,36.51976667,22.979255,,
351271000,9439113.0,TERRESTRIAL,2023-02-12T14:01:47.000Z,30.47856667,122.28876667,,
229624000,9799941.0,TERRESTRIAL,2023-02-12T14:02:06.712Z,25.77319667,-80.14308167,,
111960010,,TERRESTRIAL,2023-02-12T14:02:00.000Z,28.07630333,121.26665,,
257143220,,TERRESTRIAL,2023-02-12T14:01:54.412Z,70.67048833,23.670235,,
413251360,9582805.0,DYNAMIC,2023-02-12T13:59:31.000Z,30.78647167,122.62895333,,
211775960,,TERRESTRIAL,2023-02-12T14:02:26.202Z,39.56698167,2.63201167,,
352842000,7739777.0,TERRESTRIAL,2023-02-12T14:02:37.085Z,54.36491,18.64631667,,
271043022,9581007.0,TERRESTRIAL,2023-02-12T14:02:02.165Z,51.89376167,4.44544167,,
241423000,9435832.0,TERRESTRIAL,2023-02-12T14:02:15.000Z,40.62241833,22.93283667,,
211727520,9786657.0,TERRESTRIAL,2023-02-12T14:01:31.988Z,53.62506667,7.16290333,,
374542000,9814131.0,DYNAMIC,2023-02-12T13:56:11.000Z,14.65026167,68.31882,,
413290380,0.0,DYNAMIC,2023-02-12T13:57:30.000Z,30.91518333,122.34717333,,
413837281,0.0,TERRESTRIAL,2023-02-12T14:01:54.000Z,29.86624,107.52106,,
338081579,,DYNAMIC,2023-02-12T13:58:01.000Z,33.720855,-118.28048167,,
219026715,,TERRESTRIAL,2023-02-12T14:02:23.751Z,55.85076167,12.57256,,
271020132,,TERRESTRIAL,2023-02-12T14:02:22.000Z,41.07903667,29.04691667,,
636019890,9379648.0,TERRESTRIAL,2023-02-12T14:02:19.000Z,35.370225,139.79455833,,
100001228,,TERRESTRIAL,2023-02-12T14:01:52.000Z,33.812915,120.44420833,,
211555310,0.0,TERRESTRIAL,2023-02-12T14:02:12.074Z,51.70472833,4.60402167,,
660003152,,DYNAMIC,2023-02-12T13:46:53.000Z,30.97086667,123.02792333,,
416005451,9814569.0,TERRESTRIAL,2023-02-12T14:02:15.360Z,22.58437667,120.30091333,,
355048000,9542142.0,DYNAMIC,2023-02-12T14:00:06.000Z,19.83363333,70.03095,,
244660351,0.0,TERRESTRIAL,2023-02-12T14:00:22.109Z,51.95534333,4.07716333,,
257074830,,TERRESTRIAL,2023-02-12T14:02:06.959Z,59.90796833,10.72446833,,
412017720,0.0,TERRESTRIAL,2023-02-12T14:02:30.000Z,23.08466833,113.40398667,,
368100920,9814313.0,TERRESTRIAL,2023-02-12T14:01:58.388Z,25.72961833,-80.23206,,
244021719,0.0,TERRESTRIAL,2023-02-12T14:01:53.000Z,8.91316333,-79.52760833,,
572142220,9273636.0,DYNAMIC,2023-02-12T14:00:19.000Z,22.72981667,69.70798333,,
367772180,0.0,TERRESTRIAL,2023-02-12T14:01:50.896Z,29.78131333,-95.07549,,
366991080,0.0,TERRESTRIAL,2023-02-12T14:00:30.000Z,29.59821167,-94.37587333,,
223401136,,DYNAMIC,2023-02-12T14:01:58.000Z,31.04794667,122.866135,,
367564280,,TERRESTRIAL,2023-02-12T14:02:07.000Z,27.500695,-82.57184,,
538003684,8225759.0,DYNAMIC,2023-02-12T14:01:05.000Z,25.493,52.38135,,
368119840,,TERRESTRIAL,2023-02-12T14:01:54.907Z,29.28390667,-94.85643167,,
265698920,,TERRESTRIAL,2023-02-12T14:02:05.224Z,59.39204667,18.435785,,
367108850,7100677.0,DYNAMIC,2023-02-12T14:01:18.000Z,29.82239833,-92.13247667,,
413846777,0.0,TERRESTRIAL,2023-02-12T14:02:36.000Z,31.93418333,118.5991,,
312632000,9565120.0,TERRESTRIAL,2023-02-12T14:02:26.000Z,31.42335333,131.504545,,
352983000,9279989.0,TERRESTRIAL,2023-02-12T14:02:20.333Z,53.58256667,8.53106667,,
240338600,,TERRESTRIAL,2023-02-12T14:02:19.897Z,37.91294833,23.70642,,
312924000,9258569.0,TERRESTRIAL,2023-02-12T14:02:19.000Z,35.06311667,129.0272,,
577509000,9021095.0,TERRESTRIAL,2023-02-12T14:02:11.000Z,45.34130833,28.794515,,
413844573,,TERRESTRIAL,2023-02-12T14:01:58.000Z,29.75624,116.0212,,
373042000,9227871.0,TERRESTRIAL,2023-02-12T14:02:22.231Z,41.26951333,29.05395167,,
368102690,,TERRESTRIAL,2023-02-12T13:55:40.165Z,48.53734667,-123.01511,,
246594000,9489534.0,TERRESTRIAL,2023-02-12T14:02:22.000Z,53.19040333,5.43623333,,
235011958,,TERRESTRIAL,2023-02-12T14:02:16.000Z,58.98713833,-2.95746333,,
538005242,9593517.0,TERRESTRIAL,2023-02-12T14:02:15.000Z,25.17693333,56.35901167,,
0,0.0,SATELLITE,2023-02-12T12:39:47.000Z,-4.54144833,-90.59219667,,
413844548,,TERRESTRIAL,2023-02-12T14:02:27.000Z,32.01953333,120.38094833,,
230100179,,TERRESTRIAL,2023-02-12T14:01:00.000Z,32.12590167,118.70820667,,
273326000,8628133.0,TERRESTRIAL,2023-02-12T14:01:54.864Z,54.6915,7.412645,,
4121026,,TERRESTRIAL,2023-02-12T14:01:59.000Z,32.22864667,121.56351833,,
371039000,9108427.0,TERRESTRIAL,2023-02-12T14:02:05.000Z,40.3688,27.97362833,,
413801867,,TERRESTRIAL,2023-02-12T14:02:24.000Z,32.43649,121.30304833,,
232002653,8807600.0,TERRESTRIAL,2023-02-12T14:02:06.067Z,57.27905667,-5.708205,,
244700723,0.0,TERRESTRIAL,2023-02-12T14:02:26.331Z,53.020965,5.68887333,,
261186413,7407817.0,TERRESTRIAL,2023-02-12T14:02:27.598Z,53.45177,14.58791167,,
503194500,9366885.0,TERRESTRIAL,2023-02-12T14:02:17.690Z,-27.40153333,153.15586667,,
413869315,0.0,TERRESTRIAL,2023-02-12T14:02:21.000Z,27.811675,112.886225,,
412332024,,TERRESTRIAL,2023-02-12T14:02:22.000Z,35.45653167,119.598095,,
